,MS SubClass,MS Zoning_string,Lot Frontage,Lot Area,Street_string,Lot Shape_string,Land Contour_string,Utilities_string,Lot Config_string,Land Slope_string,Neighborhood_string,Condition 1_string,Condition 2_string,Bldg Type_string,House Style_string,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style_string,Roof Matl_string,Exterior 1st_string,Exterior 2nd_string,Mas Vnr Type_string,Mas Vnr Area,Exter Qual,Exter Cond,Foundation_string,Bsmt Qual,Bsmt Cond,Bsmt Exposure_string,BsmtFin Type 1_string,BsmtFin SF 1,BsmtFin Type 2_string,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating_string,Heating QC,Central Air_string,Electrical_string,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional_string,Fireplaces,Fireplace Qu_string,Garage Type_string,Garage Yr Blt,Garage Finish_string,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive_string,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC_string,Misc Val,Mo Sold,Yr Sold,Sale Type_string,SalePrice,Remodeled,total_square_feet,Garage_combined
18,20,5,71,8197,1,3,3,0,4,0,22,2,2,0,2,6,5,3908529,3908529,1,1,9,9,1,148,3,3,1,3,3,4,6,0,6,0,660,660,0,5,1,4,1285,0,0,1285,0,0,1,1,3,1,3,7,7,1,5,1,3908529,2,2,528,3,3,2,138,0,0,0,0,0,3,0,4,4028049,8,143500,0,2743,37146659616
19,60,2,72,8640,1,3,3,0,4,0,24,2,2,0,5,7,5,4036081,4036081,1,1,12,12,2,0,3,3,2,4,3,2,2,24,6,0,732,756,0,5,1,4,764,783,0,1547,0,0,2,1,3,1,4,7,7,0,3,1,4036081,3,2,614,3,3,2,169,45,0,0,0,0,3,0,6,4040100,2,215200,0,3273,44606767212
20,20,5,109,8724,1,3,3,0,4,0,22,2,2,0,2,5,5,3873024,3873024,1,1,12,12,2,0,3,3,1,4,3,4,1,492,6,0,402,894,0,4,1,4,894,0,0,894,0,0,1,0,3,1,3,5,7,1,4,1,3873024,0,2,450,3,3,2,0,0,0,0,0,0,3,0,5,4028049,8,129000,0,2682,31371494400
21,120,5,40,5664,1,0,3,0,4,0,25,2,2,4,2,8,5,4000000,4000000,1,1,5,5,2,0,4,3,2,4,3,4,2,1158,6,0,343,1501,0,5,1,4,1659,0,0,1659,1,0,2,0,2,1,5,5,7,1,0,1,4000000,0,2,499,3,3,2,212,59,0,0,0,0,3,0,10,4036081,8,278000,0,4932,35928000000
22,60,5,103,12867,1,0,3,0,0,0,19,2,2,0,5,8,5,4020025,4024036,1,1,5,5,2,0,4,3,2,5,3,0,6,0,6,0,1209,1209,0,5,1,4,1209,1044,0,2253,0,0,2,1,3,1,5,8,7,1,2,1,4020025,0,2,575,3,3,2,243,142,0,0,0,0,3,0,7,4024036,6,344133,1,5056,41607258750
23,20,5,0,7980,1,0,3,0,4,0,8,2,2,0,2,6,7,3968064,4028049,1,1,6,6,2,0,3,4,2,4,3,4,0,935,6,0,233,1168,0,5,1,4,1187,0,0,1187,1,0,2,0,3,1,3,6,7,0,3,1,3968064,0,2,420,3,3,2,483,21,0,0,0,0,3,500,3,4040100,8,185000,1,4027,29998563840
24,190,5,100,34650,1,3,0,0,4,0,8,2,2,1,2,5,5,3822025,3822025,3,1,13,13,2,0,3,3,1,3,3,2,5,1056,6,0,0,1056,0,3,0,4,1056,0,0,1056,1,0,1,0,3,1,3,5,7,0,3,1,3822025,0,2,572,3,3,2,264,0,0,0,0,0,3,0,1,4024036,8,145000,0,3432,39351569400
25,20,5,92,10573,1,0,3,0,0,0,15,2,2,0,2,6,6,3845521,3845521,3,1,8,8,1,3,3,3,1,3,3,4,5,1312,6,0,141,1453,0,5,1,4,1453,0,0,1453,1,0,2,0,3,1,3,6,7,1,5,1,3845521,2,2,530,3,3,2,0,49,0,0,288,0,3,0,4,4036081,8,187500,0,4408,36686270340
26,20,5,65,8450,1,3,3,0,4,0,22,5,2,0,2,5,8,3861225,4036081,1,1,8,8,2,0,3,4,1,3,3,4,2,553,1,117,224,894,0,5,1,4,894,0,0,894,1,0,1,0,3,1,3,5,7,1,2,5,3892729,3,1,336,3,3,2,416,144,0,0,0,0,3,0,4,4040100,8,138500,1,3242,11771612496
27,50,5,0,11700,1,0,1,0,4,1,6,2,2,0,0,5,6,3751969,3980025,1,1,14,14,2,0,3,3,1,3,3,4,1,606,6,0,336,942,0,5,1,4,1265,673,0,1938,0,0,2,0,4,1,4,7,3,1,2,5,3751969,3,1,240,3,3,2,0,40,0,0,0,0,3,0,7,4032064,8,198000,1,3862,8104253040
28,190,1,75,8250,1,3,3,0,4,0,11,1,2,1,5,5,6,3591025,4024036,1,1,12,12,2,0,3,4,1,3,3,4,6,0,6,0,957,957,0,2,0,4,1034,957,0,1991,0,0,2,0,4,2,3,9,7,0,3,6,0,1,0,0,0,0,0,0,0,133,0,0,0,3,0,6,4028049,8,119600,1,3905,0
29,50,5,60,8064,1,3,3,0,0,0,15,0,2,0,0,5,7,3798601,4024036,1,1,8,8,2,0,3,4,1,3,3,2,6,0,6,0,672,672,0,5,1,4,672,252,0,924,0,0,1,0,3,1,3,6,7,1,4,5,4012009,3,2,576,3,3,2,0,0,0,0,0,0,3,2000,7,4028049,8,122900,1,2268,41596509312
30,20,5,80,9600,1,3,3,0,4,0,17,4,2,0,2,8,5,3924361,3924361,3,5,3,3,2,0,4,3,2,4,3,4,0,1104,6,0,1420,2524,0,3,1,4,2524,0,0,2524,1,0,2,1,4,1,4,9,7,1,2,1,3924361,0,2,542,3,3,2,474,120,0,0,0,0,3,0,7,4036081,8,278000,0,8166,38286065916
31,70,5,0,11435,1,0,1,0,0,1,6,2,2,0,5,8,7,3721041,3802500,1,1,3,11,2,0,3,3,2,4,3,4,6,0,6,0,792,792,0,2,1,4,792,725,0,1517,0,0,1,0,3,1,4,7,7,2,2,5,3728761,3,2,400,3,3,2,0,0,0,0,0,0,3,0,6,4024036,8,230000,1,3101,26847079200
32,120,5,30,9549,1,0,3,0,1,0,27,2,2,4,2,8,5,3980025,3984016,3,1,3,3,2,0,4,4,2,4,4,0,3,437,2,1057,0,1494,0,5,1,4,1494,0,0,1494,1,0,1,1,2,1,5,6,7,1,2,1,3980025,0,2,481,3,3,2,0,30,0,0,216,0,3,0,4,4024036,8,270000,1,4512,34459056450
33,20,5,60,10950,1,3,3,0,4,0,15,2,2,0,2,6,6,3810304,3810304,3,1,13,13,2,0,3,3,1,3,3,4,0,441,6,0,507,948,0,3,1,4,948,0,0,948,0,0,1,0,2,1,3,5,7,0,3,5,3810304,3,2,410,3,3,0,0,48,0,0,0,0,3,0,4,4028049,8,125000,0,2892,28120043520
34,20,5,79,10637,1,3,3,0,4,0,5,2,2,0,2,8,5,4028049,4032064,3,1,12,12,3,336,4,3,2,5,3,1,2,1288,6,0,417,1705,0,5,1,4,1718,0,0,1718,1,0,2,0,3,1,4,7,7,1,2,1,4028049,2,3,826,3,3,2,208,44,0,0,0,0,3,0,9,4036081,8,297000,1,5380,89833548798
35,20,5,80,9000,1,0,1,0,4,1,15,2,2,0,2,6,6,3833764,3833764,0,3,13,13,1,82,3,3,1,4,3,1,6,0,6,0,160,160,0,2,1,4,1142,0,0,1142,0,0,1,0,2,1,3,5,7,1,2,2,3833764,2,1,384,3,3,2,0,28,64,0,0,0,3,0,4,4036081,8,113500,0,1490,13249488384
36,160,6,41,2665,1,3,3,0,4,0,13,2,2,4,5,5,6,3908529,3908529,1,1,5,5,2,0,3,3,2,3,3,4,0,548,5,173,36,757,0,5,1,4,925,550,0,1475,0,0,2,0,4,1,3,6,7,1,5,1,3908529,2,1,336,3,3,2,104,26,0,0,0,0,3,0,7,4024036,8,127000,0,3119,11819391696
37,20,5,105,11751,1,0,3,0,4,0,17,2,2,0,2,6,6,3908529,3908529,3,1,9,9,1,480,3,3,1,4,3,4,1,705,6,0,1139,1844,0,5,1,4,1844,0,0,1844,0,0,2,0,3,1,3,7,7,1,5,1,3908529,2,2,546,3,3,2,0,122,0,0,0,0,3,0,1,4040100,0,190000,0,5654,38413023012
38,20,5,80,9600,1,3,3,0,4,0,17,2,2,0,2,7,6,3892729,3892729,3,1,6,6,1,320,3,3,1,3,3,4,0,916,6,0,326,1242,0,2,1,4,1242,0,0,1242,0,0,1,1,3,1,3,6,7,1,5,1,3892729,3,2,528,3,3,2,0,0,0,0,0,0,3,0,9,4028049,8,175500,0,3726,36996496416
39,20,5,60,8428,1,1,3,0,4,0,5,2,2,0,2,5,7,3976036,3976036,1,1,12,12,2,0,3,4,2,4,4,4,2,420,6,0,570,990,0,5,1,4,990,0,0,990,1,0,1,0,3,1,3,5,7,0,3,5,3980025,3,1,384,3,3,2,256,0,0,0,0,0,3,0,7,4028049,8,146000,0,3226,13754966400
40,20,5,75,9937,1,3,3,0,4,0,7,2,2,0,2,5,6,3861225,3861225,1,1,6,6,2,0,4,3,1,3,3,4,1,830,3,290,136,1256,0,4,1,4,1256,0,0,1256,1,0,1,1,3,1,3,6,7,0,3,1,3861225,0,1,276,3,3,2,736,68,0,0,0,0,3,0,6,4032064,8,147500,0,4572,9591282900
41,20,5,107,13891,1,3,3,0,4,0,19,2,2,0,2,10,5,4024036,4024036,1,1,12,12,2,0,5,3,2,5,4,1,2,1386,6,0,690,2076,0,5,1,4,2076,0,0,2076,1,0,2,1,2,1,5,7,7,1,2,1,4024036,0,3,850,3,3,2,216,229,0,0,0,0,3,0,9,4024036,6,465000,0,6673,92351626200
42,85,5,0,9101,1,0,3,0,0,0,14,2,2,0,6,5,6,3912484,3912484,1,1,9,9,1,104,3,4,2,4,3,0,2,1097,6,0,0,1097,0,5,1,4,1110,0,0,1110,1,0,1,0,1,1,4,4,7,1,5,1,3912484,0,2,602,3,3,2,303,30,0,0,0,0,3,0,7,4036081,8,165500,0,3637,42395676624
43,50,6,81,12150,1,3,3,0,4,0,20,2,2,0,0,5,5,3818116,3818116,1,1,8,8,1,335,3,3,0,3,3,4,6,0,6,0,1050,1050,0,5,0,1,1050,745,0,1795,0,0,2,0,4,1,3,7,7,0,3,1,3818116,3,1,352,2,3,2,0,0,0,0,0,0,3,0,11,4032064,8,131500,0,3895,8063860992
44,20,5,70,11200,1,3,3,0,4,0,22,2,2,0,2,5,5,3861225,3861225,3,1,6,6,2,0,3,3,1,3,3,4,5,906,6,0,134,1040,0,5,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,3,5,3861225,3,1,384,3,3,2,0,0,0,0,0,0,3,0,2,4032064,8,129500,0,3120,13344393600
45,70,5,100,9670,1,0,1,0,4,1,6,2,2,0,5,8,6,3744225,3802500,1,1,3,11,3,40,3,3,2,3,2,4,3,210,6,0,398,608,0,3,1,4,983,890,0,1873,0,0,1,1,4,1,3,9,7,2,2,5,3744225,0,2,786,2,3,2,0,0,207,0,0,0,3,0,6,4032064,8,257076,1,3089,35315530200
46,50,5,60,10998,1,3,3,0,4,0,7,2,2,0,0,5,5,3767481,3841600,1,1,13,13,2,0,3,3,1,3,3,4,3,408,1,420,156,984,0,5,1,4,984,620,0,1604,0,0,2,0,3,1,3,6,3,0,3,5,3908529,3,2,660,3,3,2,0,68,0,0,0,0,3,0,7,4036081,8,117000,1,3640,46433324520
47,70,5,60,7200,1,3,1,0,4,1,6,2,2,0,5,7,6,3728761,4000000,1,1,11,14,2,0,3,2,0,4,3,4,6,0,6,0,776,776,0,3,1,4,851,651,0,1502,0,0,1,1,3,1,3,6,7,1,2,1,3728761,2,1,270,3,3,1,0,0,112,0,0,0,3,0,2,4032064,8,149000,1,3054,9060889230
48,20,5,80,9920,1,3,3,0,4,0,15,2,2,0,2,5,5,3818116,3818116,1,1,6,6,3,110,3,3,1,3,3,4,5,354,3,290,412,1056,0,3,1,4,1063,0,0,1063,1,0,1,0,3,1,3,6,7,0,3,1,3818116,2,1,280,3,3,2,0,0,164,0,0,0,3,0,2,4040100,8,128000,0,3175,9621652320
49,160,5,36,2448,1,3,3,0,4,0,19,2,2,3,5,7,5,4012009,4016016,1,1,12,14,3,106,4,3,2,4,3,4,6,0,6,0,764,764,0,5,1,4,764,862,0,1626,0,0,2,1,2,1,4,6,7,0,3,3,4012009,2,2,474,3,3,2,0,27,0,0,0,0,3,0,10,4032064,8,155000,1,3181,34230460788
50,160,2,0,2998,1,3,3,0,4,0,24,2,2,4,5,6,5,4000000,4000000,1,1,8,8,1,513,4,3,2,4,3,4,2,353,6,0,403,756,0,5,1,4,768,756,0,1524,0,0,2,1,2,1,4,4,7,0,3,5,4000000,3,2,440,3,3,2,0,32,0,0,0,0,3,0,6,4024036,8,166000,0,3068,31680000000
51,50,5,65,7804,1,3,3,0,4,0,21,2,2,0,0,4,3,3717184,3802500,1,1,14,9,2,0,3,3,0,3,3,4,1,622,6,0,500,1122,0,3,1,4,1328,653,0,1981,1,0,2,0,4,1,4,7,3,2,5,5,3924361,3,2,576,3,3,2,431,44,0,0,0,0,3,0,12,4036081,8,135000,1,4700,40687774848
52,60,5,80,16692,1,0,3,0,4,0,17,6,2,0,5,7,5,3912484,3912484,1,1,9,9,1,184,3,3,1,4,3,4,1,790,3,469,133,1392,0,3,1,4,1392,1392,0,2784,1,0,3,1,5,1,4,12,7,2,5,1,3912484,2,2,564,3,3,2,0,112,0,0,440,519,1,2000,7,4024036,8,250000,0,5680,39719537568
53,160,6,21,1476,1,3,3,0,4,0,13,2,2,3,5,4,7,3880900,3880900,1,1,5,5,2,0,3,3,1,3,3,4,2,176,6,0,370,546,0,5,1,4,546,546,0,1092,0,0,1,1,3,1,3,5,7,0,3,6,0,1,0,0,0,0,2,200,26,0,0,0,0,3,0,3,4040100,8,76000,0,2410,0
54,20,5,75,10170,1,3,3,0,0,0,15,2,2,0,2,6,6,3806401,3806401,3,1,13,13,1,522,3,3,1,3,3,4,6,0,6,0,216,216,0,3,1,4,1575,0,0,1575,0,0,1,1,2,1,4,5,7,1,2,1,3806401,3,2,400,3,3,2,0,0,0,0,0,0,3,0,6,4024036,8,155000,0,2007,27406087200
55,60,5,80,9364,1,3,3,0,0,0,22,2,2,0,5,6,7,3876961,3876961,1,1,6,6,3,143,3,3,1,3,3,4,0,371,6,0,292,663,0,3,1,4,663,689,0,1352,0,0,1,1,4,1,3,7,7,0,3,1,3876961,0,1,299,3,3,2,379,36,0,0,0,0,3,0,3,4040100,8,158000,0,3093,10432902051
56,160,2,24,2544,1,3,3,0,4,0,24,2,2,3,5,7,5,4016016,4020025,1,1,8,8,2,0,4,3,2,4,3,4,2,368,0,42,190,600,0,5,1,4,600,600,0,1200,1,0,2,1,2,1,4,4,7,0,3,5,4016016,2,2,480,3,3,2,0,172,0,0,0,0,3,0,2,4040100,8,149500,1,2572,34698378240
57,20,5,82,9888,1,3,3,0,4,0,15,2,2,0,2,5,6,3818116,3900625,1,1,8,8,2,0,3,4,1,3,3,4,1,486,6,0,450,936,0,3,1,0,936,0,0,936,0,0,1,0,2,1,3,5,7,0,3,1,3818116,3,1,240,3,3,2,0,0,160,0,0,0,3,0,3,4024036,8,121000,1,2808,8247130560
58,20,5,68,7942,1,3,3,0,4,0,15,2,2,0,2,6,7,3814209,3814209,3,1,13,13,2,0,3,3,1,3,3,4,5,85,0,955,0,1040,0,3,1,1,1040,0,0,1040,0,1,1,0,3,1,3,6,7,0,3,1,3814209,0,1,293,3,3,2,0,0,0,0,0,0,3,0,6,4028049,8,136000,0,3120,10058069133
59,60,5,0,15038,1,1,3,0,0,0,8,2,2,0,5,6,5,3984016,3984016,1,1,6,6,2,0,3,3,2,4,3,4,5,138,6,0,778,916,0,4,1,4,916,720,0,1636,0,0,2,1,3,1,3,7,7,1,5,1,3984016,0,2,386,3,3,2,168,84,0,0,0,0,3,0,11,4032064,8,173000,0,3720,27680943168
60,60,5,92,11764,1,0,3,0,1,0,18,2,2,0,5,8,7,3996001,4028049,1,1,12,12,1,348,4,3,2,4,3,4,2,524,6,0,628,1152,0,5,1,4,1164,1106,0,2270,0,0,2,1,4,1,4,9,7,1,2,1,3996001,0,3,671,3,3,2,132,57,0,0,0,0,3,0,4,4040100,8,290000,1,4763,72395550117
61,60,2,75,9000,1,3,3,0,4,0,24,2,2,0,5,8,5,4028049,4028049,1,1,5,5,2,0,4,3,2,4,3,0,2,64,6,0,1120,1184,0,5,1,4,1184,1426,0,2610,0,0,2,1,4,1,5,11,7,1,2,3,4028049,0,2,550,3,3,2,208,364,0,0,0,0,3,0,8,4028049,6,303477,0,5550,39877685100
62,20,5,0,20062,1,0,2,0,4,1,4,2,2,0,2,7,7,3908529,4004001,3,1,13,13,2,0,4,4,1,4,3,1,0,1092,6,0,328,1420,0,4,1,4,1483,0,0,1483,1,0,1,1,1,1,3,4,7,2,5,1,3908529,2,2,690,3,3,2,496,0,0,0,0,0,3,0,4,4040100,8,270000,1,4819,48543930180
63,50,6,81,7308,1,3,3,0,0,0,20,0,2,0,0,5,5,3686400,3802500,1,1,14,14,2,0,2,2,0,3,3,4,5,360,6,0,576,936,0,4,0,0,960,780,0,1740,0,0,1,0,2,1,5,6,7,1,2,5,3686400,3,1,225,2,2,0,0,0,236,0,0,0,3,0,6,4032064,8,122250,1,3612,3317760000
64,20,5,70,8750,1,3,3,0,4,0,15,2,2,0,2,5,5,3822025,3822025,1,1,0,0,2,0,3,3,1,3,3,4,5,172,3,483,727,1382,0,4,1,0,1382,0,0,1382,0,1,1,0,3,1,4,6,7,0,3,1,3822025,3,1,350,3,3,2,280,0,0,0,0,0,3,0,7,4036081,8,153000,0,4426,12039378750
65,20,5,70,8402,1,3,3,0,4,0,14,1,2,0,2,5,5,4028049,4028049,1,1,12,12,2,0,3,3,2,4,3,4,0,206,6,0,914,1120,0,5,1,4,1120,0,0,1120,0,0,1,0,3,1,3,6,7,0,3,6,0,1,0,0,0,0,2,0,30,0,0,0,0,3,0,12,4028049,6,147000,0,3390,0
66,70,5,63,4000,1,3,3,0,4,0,6,2,2,0,5,7,8,3724900,3980025,1,1,13,13,2,0,3,3,0,4,3,4,2,246,6,0,285,531,0,3,1,4,567,531,0,1098,1,0,1,0,2,1,3,5,7,1,2,5,3724900,3,1,216,3,3,2,0,0,0,0,0,0,3,0,6,4028049,8,148500,1,2160,7241205600
67,160,6,32,3363,1,3,3,0,4,0,7,2,2,4,5,7,5,4016016,4016016,1,1,12,12,3,117,4,3,2,4,3,4,6,0,6,0,976,976,0,5,1,4,976,732,0,1708,0,0,2,0,3,1,4,7,0,0,3,5,4016016,3,2,380,3,3,2,0,40,0,0,0,0,3,0,4,4024036,8,130000,0,3700,27469549440
68,20,5,94,13615,1,0,1,0,0,1,19,2,2,0,2,9,5,4024036,4024036,3,1,8,8,3,510,5,3,2,5,3,1,6,0,6,0,1802,1802,0,5,1,4,1802,0,0,1802,0,0,2,1,3,1,5,7,7,1,2,1,4024036,0,3,843,3,3,2,158,105,0,0,0,0,3,0,6,4028049,8,372000,0,5669,91591083396
69,120,5,43,3013,1,3,3,0,4,0,0,2,2,4,2,7,5,4020025,4020025,1,1,12,12,1,145,4,3,2,4,3,1,2,16,6,0,1346,1362,0,5,1,4,1506,0,0,1506,0,0,2,0,2,1,4,6,7,1,2,1,4020025,0,2,440,3,3,2,142,20,0,0,0,0,3,0,4,4024036,8,213490,0,4392,31838598000
70,20,5,44,17485,1,1,3,0,4,0,7,2,2,0,2,7,5,4036081,4040100,1,1,12,12,3,96,4,3,2,4,3,1,2,1346,6,0,162,1508,0,5,1,4,1508,0,0,1508,1,0,1,0,1,1,4,5,7,2,5,1,4036081,2,2,572,3,3,2,0,0,0,0,0,0,3,0,1,4040100,2,308030,1,4524,41555489976
